,Year,Player,POSITION,DRAFT_NUMBER,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,Age (Days),DRAFT_NUMBER,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,WS,BPM,Total Minutes,Seasons Played,Average Minutes
0,2000,Speedy Claxton,PG,20,70.5,166.0,72.0,94.5,7' 10.5'',36.0,42.5,10.48,3.06,6.0,8188,20,31,1089,.470,.500,.381,.764,22.8,5.4,6.0,3.3,0.2,7.0,,8541,7,1220.142857142857
1,2000,Khalid El-Amin,PG,34,69.0,200.0,73.5,93.0,7' 9'',27.5,32.0,10.59,3.32,6.0,7810,34,35,1118,.411,.443,.356,.892,16.0,3.1,5.2,1.7,0.1,4.4,,936,1,936.0
2,2000,A.J. Guyton,PG-SG,32,72.75,175.0,75.75,97.5,8' 1.5'',33.0,37.5,10.55,3.22,9.0,8102,32,29,995,.459,.485,.419,.789,19.7,3.1,2.3,1.0,0.4,4.3,,1242,3,414.0
3,2000,Jason Hart,PG,49,73.75,181.0,78.0,97.5,8' 1.5'',29.5,33.5,11.7,3.34,9.0,8179,49,32,1083,.411,.460,.330,.734,11.9,3.0,6.5,1.8,0.1,3.6,,5311,9,590.1111111111111
4,2000,Dan Langhi,SF,31,81.0,197.5,80.0,104.0,8' 8'',31.0,34.5,10.85,3.24,12.0,8753,31,30,1033,.477,.511,.403,.871,22.1,6.0,0.8,0.4,0.3,5.3,,1248,4,312.0
5,2000,Dan McClintock,C-PF,53,83.0,250.0,85.5,107.0,8' 11'',33.0,35.0,11.52,3.33,20.0,8534,53,31,754,.597,.597,0,.682,15.6,6.5,1.2,0.4,2.3,4.5,,58,1,58.0
6,2000,Eduardo Najera,PF-SF,38,78.5,234.5,83.5,104.5,8' 8.5'',28.0,35.0,11.38,3.45,15.0,8981,38,34,1162,.455,.500,.220,.688,18.4,9.2,2.1,1.7,0.7,6.3,,11185,12,932.0833333333334
7,2000,Chris Porter,SF-PF,55,77.5,214.0,81.5,103.5,8' 7.5'',28.5,35.0,10.93,3.2,6.0,8189,55,26,755,.464,.477,.235,.676,14.6,7.3,1.2,2.0,0.3,4.1,,1145,1,1145.0
8,2000,Lavor Postell,SG,39,76.5,205.0,80.5,101.5,8' 5.5'',33.5,36.5,11.79,3.3,17.0,8116,39,33,1155,.428,.463,.294,.809,14.3,6.9,1.8,0.9,0.6,2.2,,443,3,147.66666666666666
9,2000,Michael Redd,SG-SF,43,76.75,214.0,81.0,102.0,8' 6'',27.0,31.0,12.06,3.34,12.0,7929,43,30,1004,.436,.474,.315,.776,17.3,6.5,2.1,1.2,0.2,4.0,,20085,12,1673.75
10,2000,Mike Smith,SF,35,78.5,198.0,80.5,103.0,8' 7'',33.0,21.0,11.32,3.22,12.0,8895,35,28,1011,.424,.511,.338,.801,20.1,9.4,3.4,1.5,0.9,4.6,,180,1,180.0
11,2000,Jabari Smith,PF-C,45,81.75,240.5,86.5,109.5,9' 1.5'',24.5,30.0,12.45,3.43,15.0,8467,45,34,969,.553,.579,.371,.595,12.5,7.0,2.2,0.7,1.0,5.2,,1068,4,267.0
12,2001,Brandon Armstrong,SG,23,75.5,188.0,81.5,99.5,8' 3.5'',30.0,37.0,10.91,3.2,6.0,7861,23,31,1027,.447,.484,.384,.826,22.1,3.3,1.5,1.5,0.2,4.8,,700,3,233.33333333333334
13,2001,Shane Battier,SF-PF,6,80.25,229.0,82.5,105.0,8' 9'',29.5,33.0,10.95,3.3,12.0,8674,6,39,1363,.471,.536,.419,.796,19.9,7.3,1.8,2.1,2.3,10.1,,29952,13,2304.0
14,2001,Ruben Boumtje-Boumtje,C,49,83.5,245.0,88.0,111.0,9' 3'',26.5,31.0,11.84,3.33,6.0,8565,49,33,713,.517,.517,0,.718,9.1,6.8,0.9,0.7,2.4,5.4,,274,3,91.33333333333333
15,2001,Michael Bradley,PF,17,81.5,227.0,85.5,107.0,8' 11'',27.0,30.0,11.11,3.35,13.0,8168,17,31,1053,.692,.727,.353,.590,20.8,9.8,2.6,0.9,1.8,6.4,,2019,5,403.8
16,2001,Jamison Brewer,PG,40,74.5,178.0,80.75,102.5,8' 6.5'',26.0,32.5,9.65,3.15,12.0,8014,40,32,1035,.469,.534,.227,.529,8.4,7.2,5.8,1.5,0.1,2.9,,464,4,116.0
